trial 0 t0 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t27.72106 lA True rA True pd1 3.319565 pd2 3.00174 eo1 0.925046 eo2 0.7928768 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 5.9, -22.2) go2 (-30.9, 0.5, -24.3)
trial 0 t27.74307 lA True rA True pd1 3.330215 pd2 2.995529 eo1 0.9224149 eo2 0.7895144 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 5.9, -22.2) go2 (-30.9, 0.5, -24.3)
trial 0 t27.76514 lA True rA True pd1 3.347229 pd2 3.004196 eo1 0.9266692 eo2 0.7831451 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 5.9, -22.2) go2 (-30.9, 0.5, -24.3)
trial 0 t27.78707 lA True rA True pd1 3.347031 pd2 2.995621 eo1 0.9211497 eo2 0.801992 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 5.9, -22.2) go2 (-30.9, 0.5, -24.3)
trial 0 t27.80908 lA True rA True pd1 3.317841 pd2 2.995895 eo1 0.9231774 eo2 0.7841266 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 5.9, -22.2) go2 (-30.9, 0.5, -24.2)
trial 0 t27.83241 lA True rA True pd1 3.314865 pd2 3.004791 eo1 0.9343091 eo2 0.79504 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 5.9, -22.3) go2 (-30.9, 0.5, -24.2)
trial 0 t27.85287 lA True rA True pd1 3.314621 pd2 3.01059 eo1 0.9359452 eo2 0.8115981 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 5.9, -22.3) go2 (-30.9, 0.5, -24.2)
trial 0 t27.8751 lA True rA True pd1 3.314484 pd2 3.015945 eo1 0.9287764 eo2 0.8006924 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 5.9, -22.3) go2 (-30.9, 0.5, -24.2)
trial 0 t27.89811 lA True rA True pd1 3.310074 pd2 3.016754 eo1 0.9248528 eo2 0.8078424 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 5.9, -22.3) go2 (-30.9, 0.5, -24.3)
trial 0 t27.92046 lA True rA True pd1 3.310059 pd2 3.023483 eo1 0.9235213 eo2 0.8030072 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 5.9, -22.3) go2 (-30.9, 0.5, -24.3)
trial 0 t27.95422 lA True rA True pd1 3.269272 pd2 3.022675 eo1 0.9301983 eo2 0.8171611 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 5.9, -22.3) go2 (-30.9, 0.5, -24.3)
