trial 0 t16.014 lA True rA True pd1 2.540817 pd2 2.689926 eo1 0.9666853 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (32.5, 2.8, -26.1) go2 (-28.2, 7.6, -24.0)
trial 0 t16.03601 lA True rA True pd1 2.569153 pd2 2.634628 eo1 0.9742793 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (32.5, 2.8, -26.0) go2 (-28.3, 7.6, -24.0)
trial 0 t16.05812 lA True rA True pd1 2.570709 pd2 2.603317 eo1 0.9781637 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (32.5, 2.8, -26.0) go2 (-28.3, 7.6, -24.0)
trial 0 t16.08029 lA True rA True pd1 2.568024 pd2 2.600372 eo1 0.9720154 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (32.5, 2.8, -26.0) go2 (-28.3, 7.6, -24.0)
trial 0 t16.10275 lA True rA True pd1 2.567581 pd2 2.603714 eo1 0.9842839 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (32.5, 2.8, -26.0) go2 (-28.3, 7.6, -24.0)
trial 0 t16.12543 lA True rA True pd1 2.575302 pd2 2.624802 eo1 0.9852905 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (32.5, 2.8, -26.1) go2 (-28.3, 7.6, -24.0)
trial 0 t16.14692 lA True rA True pd1 2.574951 pd2 2.629562 eo1 0.9921154 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (32.5, 2.8, -26.1) go2 (-28.3, 7.6, -23.8)
trial 0 t16.1689 lA True rA True pd1 2.575729 pd2 2.65358 eo1 0.9956143 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (32.5, 2.8, -26.1) go2 (-28.3, 7.6, -23.8)
trial 0 t16.19112 lA True rA True pd1 2.566818 pd2 2.680527 eo1 0.9927649 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (32.5, 2.8, -26.1) go2 (-28.3, 7.6, -23.8)
trial 0 t16.21343 lA True rA True pd1 2.519241 pd2 2.697174 eo1 0.9986699 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (32.5, 2.8, -26.1) go2 (-28.3, 7.6, -23.8)
trial 0 t16.2354 lA True rA True pd1 2.516327 pd2 2.700882 eo1 0.995043 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (32.5, 2.8, -26.1) go2 (-28.3, 7.6, -23.8)
trial 0 t16.25797 lA True rA True pd1 2.515289 pd2 2.697144 eo1 0.9963369 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.5, 2.8, -26.1) go2 (-28.3, 7.6, -23.8)
trial 0 t16.28074 lA True rA True pd1 2.456161 pd2 2.552063 eo1 0.995869 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.3, 2.8, -26.1) go2 (-28.4, 7.5, -23.7)
trial 0 t16.30269 lA True rA True pd1 2.427612 pd2 2.677185 eo1 0.9950227 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.3, 2.8, -26.1) go2 (-28.4, 7.5, -23.6)
trial 0 t16.3249 lA True rA True pd1 2.42421 pd2 2.677307 eo1 0.9945303 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.3, 2.8, -26.1) go2 (-28.4, 7.5, -23.6)
trial 0 t16.34717 lA True rA True pd1 2.423218 pd2 2.681427 eo1 0.9990212 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.3, 2.8, -26.1) go2 (-28.4, 7.5, -23.6)
trial 0 t16.38037 lA True rA True pd1 2.463638 pd2 2.692566 eo1 0.9952388 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.3, 2.8, -26.1) go2 (-28.4, 7.5, -23.6)
trial 0 t16.40247 lA True rA True pd1 2.446365 pd2 2.693665 eo1 1 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.3, 2.7, -26.1) go2 (-28.4, 7.5, -23.6)
trial 0 t16.42474 lA True rA True pd1 2.446442 pd2 2.693024 eo1 0.9991639 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.3, 2.7, -26.0) go2 (-28.4, 7.5, -23.6)
