trial 0 t0 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t56.93021 lA True rA True pd1 2.565399 pd2 2.925354 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.2, 0.9, -30.1) go2 (-29.0, 2.1, -28.6)
trial 0 t56.95199 lA True rA True pd1 2.596436 pd2 2.919342 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.2, 0.9, -30.1) go2 (-29.0, 2.2, -28.9)
trial 0 t56.97433 lA True rA True pd1 2.596115 pd2 2.94725 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.2, 0.9, -30.1) go2 (-29.0, 2.2, -28.9)
trial 0 t56.99636 lA True rA True pd1 2.595825 pd2 2.944153 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.2, 0.9, -30.1) go2 (-29.0, 2.2, -28.9)
trial 0 t57.01833 lA True rA True pd1 2.629822 pd2 2.934265 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.2, 0.9, -30.1) go2 (-29.0, 2.2, -28.9)
trial 0 t57.04055 lA True rA True pd1 2.676636 pd2 2.943619 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.2, 0.9, -30.1) go2 (-29.0, 2.2, -28.9)
trial 0 t57.07391 lA True rA True pd1 2.699066 pd2 2.978394 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.2, 0.9, -30.1) go2 (-29.0, 2.2, -28.9)
trial 0 t57.09639 lA True rA True pd1 2.716812 pd2 2.983994 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.2, 0.9, -30.2) go2 (-29.0, 2.2, -28.9)
trial 0 t57.11903 lA True rA True pd1 2.724197 pd2 2.984085 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.2, 0.9, -30.2) go2 (-29.0, 2.2, -28.9)
trial 0 t57.14139 lA True rA True pd1 2.715836 pd2 2.931091 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.2, 0.9, -30.1) go2 (-29.0, 2.2, -28.9)
trial 0 t57.16377 lA True rA True pd1 2.715195 pd2 2.988129 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.2, 0.9, -30.1) go2 (-29.0, 2.2, -28.9)
trial 0 t57.1861 lA True rA True pd1 2.709671 pd2 2.965454 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.2, 0.9, -30.1) go2 (-29.0, 2.1, -28.9)
trial 0 t57.20776 lA True rA True pd1 2.702713 pd2 3.000534 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.2, 0.9, -30.1) go2 (-29.0, 2.1, -28.9)
trial 0 t57.22991 lA True rA True pd1 2.412247 pd2 2.70105 eo1 0.6412907 eo2 0.6597139 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.3, 1.0, -30.1) go2 (-28.9, 2.2, -28.4)
trial 0 t57.25169 lA True rA True pd1 2.680084 pd2 2.679901 eo1 0 eo2 0.1314545 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, -0.1, 1.0) go1 (33.3, 1.7, -32.0) go2 (-28.9, 2.5, -29.1)
trial 0 t57.27368 lA False rA False pd1 -1 pd2 -1 eo1 0 eo2 0 pp1 (-1.0, -1.0) pp2 (-1.0, -1.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
